Date,ADBE,AMD,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CHTR,CHKP,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DLTR,EBAY,EA,EXC,EXPE,FAST,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MELI,MCHP,MU,MSFT,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PEP,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,NDX
9/19/18,264.8800049,31.20999908,379.9400024,58.71350098,58.55450058,96.32099915,173.187027,83.74391937,184.2700043,52.21628189,36.66714096,179.274231,148.3999939,131.6328583,226.4100037,338.9100037,99.76999664,1926.780029,202.7203827,45.02999878,329.7900085,118.1200027,198.3174591,40.04276657,70.6605835,32.85338593,13.89500046,213.5601654,23.05138588,34.77000046,84.27999878,31.52041626,110.8922043,25.85152435,130.4420624,25.19260597,59.867836,240.8999939,350.3699951,67.25,39.99788666,212.655014,185.4900055,93.9260025,141.4456635,28.59000015,27.61000061,155.2100067,126.2886505,315.8099976,37.46737671,44.29741669,105.613739,38.39656067,29.65999985,37.4235878,366.9599915,67.39941406,84.87188721,342.9100037,37.73590469,63.54714966,97.98384094,64.48739624,383.7000122,92.14971924,77.5,6.319512367,80.35942841,115.4300003,49.90398026,98.94000244,68.05292511,130.5700073,19.93466759,92.66746521,38.72999954,287.1600037,159.0899963,116.0053635,176.6000061,56.53110504,140.6600037,54.20373917,40.6420784,7490.32
9/20/18,266.3399963,31.18000031,379.8399963,59.57849884,59.34349823,97.21499634,174.8064575,86.02340698,183.75,52.61321259,36.99587631,181.5880737,153.2299957,133.3435364,230.6199951,341.2399902,100.4000015,1947.73999,205.3529816,45.75,329.9899902,118.7099991,199.135849,40.42387772,71.65407562,33.28474426,14.03250027,213.6240692,22.7585392,34.85250092,86.22000122,31.53883743,111.4323196,25.94120026,132.0630188,25.40463448,60.63766479,242.0200043,356.3200073,68.27999878,40.90790939,213.2037964,187.0599976,95.27368927,143.3753967,29.17000008,28.25,155.9700012,127.2028961,323.0799866,38.39288712,45.2804985,107.3818512,38.77664185,30.19000053,38.97573471,365.3599854,65.98688507,86.44631195,344.5400085,38.31264496,64.20848846,99.23265076,64.95759583,387.25,91.65547943,79,6.328540325,82.84635925,115.6600037,50.8042984,99.77999878,68.82953644,130.9499969,19.88866615,93.63407898,39.47999954,284.7600098,160.1999969,116.9249878,180.5200043,57.8079834,141.6600037,55.74472427,40.77987671,7569.03
9/21/18,260.8800049,31.02000046,380.8399963,58.60599899,58.30450058,95.75050354,174.8064575,85.53494263,182.4799957,52.0465126,37.22127914,178.6862946,152.3999939,134.955719,228.8500061,345.4100037,97.83999634,1956.73999,208.010788,45.52999878,332.5899963,117.75,199.1452942,41.12683487,72.06263733,33.3639679,13.14500046,214.3912048,23.05138588,34.875,85.06999969,31.35461617,112.9544907,26.09664536,131.3753357,25.48685455,61.18869019,241.1300049,358.1600037,66.58999634,40.43989563,212.2314453,185.5899963,95.82377625,143.7447205,29.25,28.25,156.9900055,125.9710693,319.6799927,38.10279846,43.98282623,108.0342636,38.83852005,29.92499924,39.26094055,361.1900024,65.28560638,86.29901123,344.5100098,38.20153427,64.62932587,98.96564484,64.17393494,390.2799988,92.66300964,77.76000214,6.301455498,83.35279083,116.4000015,51.72261047,99.22000122,68.76979828,132.0700073,19.94000053,94.98048401,39.40999985,280.769989,159.8099976,116.1892853,180.0800018,57.89522171,138.6300049,56.36669159,40.9004631,7531.07
9/24/18,264.0899963,32.61000061,388.9599915,58.97800064,58.66849899,96.71800232,176.6047821,85.93292999,183.3699951,52.79495239,36.72349167,181.5690918,152.8300018,133.5137177,226.6300049,347.019989,97.62999725,1958.76001,209.1426392,45.56999969,327.0400085,118.4800034,198.5902557,41.02519989,71.74691772,31.3656559,12.85499954,213.0944214,22.83641624,35.52500153,85.62999725,31.05985641,113.1705627,25.82761002,129.8820953,24.96759415,61.27782059,242.7100067,358.25,66.48000336,40.65657806,210.7487793,189.7566681,95.6954422,142.8768158,28.36000061,27.69000053,157.3399963,125.3359299,331.3800049,37.89559555,44.39572144,108.421936,38.40539932,29.14999962,38.39802551,369.6099854,65.8431778,84.09259796,343.0499878,37.22797394,64.01951599,96.69194794,64.06944275,390.1900024,92.47290802,78.52999878,5.651450634,84.26617432,116.1100006,51.03837585,99.41999817,68.62044525,134.8800049,19.97866631,94.76473999,38.27000046,280.9899902,158.9600067,116.2183456,182.1699982,57.26076126,141.5,55.62404633,40.51288986,7548.75
9/25/18,267.8399963,32.56999969,392.980011,59.69449997,59.23249817,98.72750092,175.9655609,83.72583008,184.9900055,53.12971878,36.23509979,180.3742371,155.3999939,133.3525085,226.6000061,341.6499939,96.27999878,1955.01001,207.6334839,45.41999817,323.3699951,118.1600037,200.3305359,41.05061722,71.32909393,31.1631794,12.88000011,212.7199707,22.84264946,36.19749832,85.26000214,30.17558861,114.1624146,25.45693588,128.4772491,25.09307671,60.76729965,245.8399963,359.0100098,65.86000061,39.78987885,213.6948242,191.3966675,93.84351349,139.6912994,29.01000023,28.32999992,158.4100037,124.4024582,319.6199951,36.27019501,43.8845253,108.213913,38.2374649,28.96500015,39.40719986,369.4299927,66.51473236,79.86444092,344.3099976,36.64066315,63.31526947,96.43359375,63.33800888,390.0499878,92.68200684,79.87000275,5.660477161,82.95490265,117.4700012,51.22743988,98.83999634,69.14813995,135.5500031,20.06599998,92.82280731,37.61999893,277.4599915,160.4900055,116.9346542,182.6499939,57.26869202,143.7899933,55.40125275,40.14256668,7563.19
9/26/18,268.4700012,32.18999863,389.230011,59.70299911,59.0245018,98.74250031,176.280899,83.50873566,184.9799957,52.7064743,35.93454361,179.0371704,154.8200073,134.0063019,228.4199982,349.3699951,98.08000183,1967.51001,205.7721863,44.95000076,321.6700134,118.4599991,189.2303314,40.99980164,71.30123138,31.13677025,12.91250038,213.5236206,23.02334785,35.70500183,84.36000061,30.9309082,115.9693756,25.22974777,129.3221283,24.99788857,61.30213928,244.3899994,361.4500122,67.41999817,39.60786819,213.906601,189.8466644,92.211586,137.401413,28.90999985,28.20999908,158.9600067,126.0480652,330.75,36.27939224,43.5994339,107.7695236,38.21978378,29.15500069,40.51691437,377.8800049,66.14550018,78.73814392,345.7200012,36.39197922,63.2036171,96.02881622,62.48468018,391.5299988,94.25983429,80.05999756,5.759783745,81.42654419,117.4499969,51.56054306,98,68.49101257,134.5299988,20.63866615,91.67493439,37.84999847,278.3299866,158.9199982,116.8185043,186.6499939,57.86349869,144.5099945,54.71430588,39.67748642,7563.09
9/27/18,269.9100037,32.59000015,389.9700012,60.36800003,59.73199844,100.6490021,178.0366516,83.38208771,186.3999939,53.78967667,36.01907349,178.9802399,156,134.2660522,230.4700012,355.6000061,97.97000122,1969.339966,206.6273956,45.00999832,325.0700073,118.1100006,185.8720398,40.93203735,71.27339172,31.0047226,12.77999973,213.6971283,23.11992645,35.99000168,82.08000183,30.70983887,117.2361984,25.59445,129.1845703,25.12770081,62.05575562,248.6799927,366.980011,69.04000092,39.76388168,214.5228119,189.8966675,92.5141449,139.0265045,29.05999947,28.29999924,161.2400055,128.3961945,340.0799866,36.19651031,44.22859955,108.1760788,38.29981613,29.15999985,41.23723602,380.7099915,66.26443481,78.95046234,345.8999939,36.54013443,63.08336258,95.64126587,62.44115829,406,94.53546143,78.25,5.741729259,81.33612061,118.5,51.62356186,98.65000153,70.18362427,137.0700073,20.50133324,92.59841156,38.11999893,279.2799988,159.1399994,116.9346542,189.7400055,58.53761673,145.9700012,54.56450653,40.11672592,7629.57
9/28/18,269.9500122,30.88999939,391.2200012,60.35400009,59.67350006,100.1500015,176.6729431,83.63536835,186.6799927,53.9785881,36.30085754,178.2974854,156.1100006,134.9377899,228.6799927,353.3099976,96.97000122,1984,206.8621521,45.31999969,325.8800049,117.6699982,186.0789795,41.20306015,71.63551331,31.171978,12.88249969,214.5007782,23.0700798,35.75999832,81.55000305,30.41508484,118.3262634,26.10262871,128.1825562,25.10606575,62.56627274,249.6600037,367.0599976,69.08000183,40.98590851,218.9322662,191.3333282,93.24755859,140.0698547,28.93000031,28.15999985,162.4900055,127.0585251,340.4700012,36.33464813,44.46453857,108.1382675,38.20200348,29.13999939,41.72903061,374.1300049,69.63960266,78.93202972,347.3200073,36.07981491,63.25513077,96.28717041,62.71976852,404.0400085,94.19326782,77.12000275,5.705615997,82.03245544,120.9100037,51.17341995,98.61000061,69.87496948,137.9900055,17.65133286,92.59841156,37.16999817,282.1199951,160.1199951,116.6926651,192.7400055,57.81591415,145.9799957,54.80793381,40.65930939,7627.65
10/1/18,275.4899902,31.42000008,391.519989,60.42649841,59.76549911,100.2180023,176.3490906,83.572052,186,54.34204483,36.00968552,180.2509613,155.5,135.0094452,227.3999939,352.5599976,98.62000275,1989.209961,209.1929626,45.06000137,321.5899963,117.7300034,186.2765656,41.38938904,71.47766113,31.26881218,13.15750027,214.290741,23.37539673,33.44250107,82.22000122,29.94530869,115.4390488,25.95315933,128.0253754,25.07577515,63.17402649,248.9199982,366.5400085,68.81999969,40.25788879,219.2403259,191.5800018,92.37660217,138.7217865,28.23999977,27.61000061,161.6399994,123.5171127,332.4899902,35.52885056,44.38589096,109.3107071,38.08640289,28.68000031,42.77111435,381.4299927,71.70635986,78.49811554,345.7799988,36.50838852,63.31526947,95.34842682,63.2161026,394.230011,93.69903564,81.16000366,5.687560558,82.70165253,117.5599976,50.03902817,97.87000275,69.944664,137.4100037,20.71333313,92.98678589,37.15999985,282.9599915,159.9299927,116.5377884,191.5700073,57.46695328,145.8699951,54.32108688,40.58178711,7645.45
10/2/18,272,29.02000046,376.1700134,60.38199997,60.00550079,98.56549835,176.9968109,83.4815979,182.2100067,54.82506561,36.53565598,180.3268433,153.9199982,135.9319458,218.8999939,345.4100037,99,1976.589966,208.010788,44.49000168,326.8900146,115.6600037,184.23526,41.50794601,71.75621033,31.5962925,12.80749989,215.8432465,23.15731239,32.57500076,81.63999939,29.99136925,114.9480515,26.31188011,126.6893463,25.03683281,63.74935913,242.3800049,362.1400146,69.84999847,41.68793869,219.1440277,190.4933319,92.56916046,139.4973755,28.12999916,27.45000076,160.1999969,121.2267151,353.8999939,35.75447083,44.985569,108.8757477,38.44210052,28.59499931,40.55348969,377.1400146,70.99266815,78.54429626,342.0899963,36.86817551,64.22566223,93.634552,63.8691864,400.5700073,91.55091095,81.26000214,5.624365807,83.09054565,112.6699982,50.04803085,96.97000122,69.4169693,134.3800049,20.06800079,93.60820007,37.47000122,279.9700012,157.5200043,116.6151886,191.9299927,58.28381729,142.8999939,54.04021454,41.12438202,7628.28
10/3/18,270.5100098,28.43000031,375.2600098,60.57649994,60.14749908,97.63800049,176.3405457,83.06549835,182.2200012,55.49221039,36.55442429,181.89151,154.8699951,135.7707062,216.3500061,352.75,99.68000031,1972.630005,209.1174774,44.90000153,325.2900085,116.6900024,184.4139709,41.61804962,71.08769226,31.14490509,13.18999958,212.9665375,23.36293221,31.53499985,81.55000305,30.16637611,114.2998962,25.76782036,127.0920944,25.13202667,64.01678467,239.3600006,359.6000061,69.94000244,42.25995255,222.7062683,187.156662,94.256073,140.5038147,27.36000061,26.77000046,161.5200043,119.898674,354.1000061,34.5895195,44.38589096,108.8946609,38.04193878,28.33499908,40.7052269,377.0499878,71.05459595,79.50440979,343.5,37.1591835,62.86865616,92.60106659,63.25093842,403.0400085,91.95011902,82.76000214,5.651450634,83.60601044,115.0599976,49.93999481,97.33000183,68.68019104,136.1100006,19.65333366,93.36653137,38.04000092,278.8699951,157.7799988,117.0991974,192.2100067,58.5296936,145.6600037,54.63941193,40.59901047,7637.43
10/4/18,263.7099915,27.78000069,357.8900146,58.85350037,58.40950012,95.47100067,173.4171753,81.40111542,175.3800049,54.51660538,35.58703995,177.7664795,152.1000061,134.5436554,210.0700073,343.1000061,98.75,1933.400024,208.0694733,43.41999817,324.6799927,115.5699997,183.3227539,41.25141525,70.6605835,31.16261101,12.93500042,211.5784302,23.26324081,31.26749992,81.11000061,30.05585289,111.9626389,25.85152435,124.7049026,24.57382774,62.03954697,231.1100006,344.7099915,66.19000244,41.71393967,216.3039093,184.8133392,92.91752625,137.5860901,27.01000023,26.37999916,157.0399933,117.598671,339.4599915,32.89043808,43.41264725,106.6443634,37.67734909,27.98500061,39.23717499,363.6499939,69.21089935,76.57788849,339.4400024,36.97400665,62.17297745,91.81732178,63.02454758,392.0499878,90.41983032,79.52999878,5.606311321,82.3399353,111.8799973,50.31811523,94.62999725,68.65031433,131.8800049,18.78866768,91.37285614,36.47000122,275,155.2100067,114.572731,188.6199951,58.1648674,139.7599945,53.00097656,40.86600494,7490
10/5/18,263.2200012,27.35000038,353.1099854,58.39149857,57.86750031,94.48249817,173.8859253,78.83217621,173.75,53.63185501,34.97653961,174.2861938,152,135.2333374,205.6199951,342.0799866,101.0899963,1903.839966,204.7661133,42.90000153,316.0400085,115.5,184.2822418,41.03824997,69.83416748,30.58733368,12.97249985,199.8342285,23.22585869,31.61000061,80.63999939,29.69661713,111.6876602,26.19230843,121.5514145,24.44400787,61.78023911,229.2400055,329.519989,65.08000183,40.76057816,214.0317383,182.9033356,91.07475281,136.5611725,26.65999985,26.04000092,153.8399963,116.8769073,335.6400146,31.90044975,42.84245682,106.0203247,37.7218132,28.09499931,39.39988708,351.3500061,66.87406158,76.8179245,340.8200073,35.96870422,62.64533997,91.713974,62.00577545,391.769989,89.94459534,78.48000336,5.534087181,79.17475891,110.5899963,50.20108414,93.19999695,68.29187775,130.6000061,17.46333313,89.13751984,35.36999893,269.8500061,154.1300049,115.6375275,188.0500031,57.50659943,139.9700012,52.57029724,41.65834045,7399.01
10/8/18,254.6900024,26.45999908,342.8699951,57.79600143,57.44850159,93.22100067,175.2070007,78.22611237,168.2700043,53.50752258,34.36604309,172.2853088,146.2100067,133.7197113,203.9799957,343.0299988,101.3300018,1900.900024,202.3682404,41.40999985,320.2399902,114.3399963,182.9276581,40.51812363,68.81279755,31.13606071,12.81499958,204.5009003,23.29127884,30.85250092,82.27999878,30.00979042,108.6335144,26.31188011,120.431488,24.52622604,61.90987396,224.2899933,325.8900146,64.16999817,40.76057816,209.2468414,175.4900055,90.96474457,134.8807068,27.20999908,26.62999916,150.7799988,116.0300522,339.5,31.17292786,42.34109116,104.8100586,38.16642761,28.24500084,39.6375618,349.1000061,65.86050415,75.8393631,344.3399963,36.04805756,62.14720535,93.1780777,61.76197052,394.1499939,91.13274384,77.06999969,5.597281456,79.19284821,105,50.90332413,91.29000092,68.52088165,126.8199997,16.70400047,87.97238922,34.56000137,273.4899902,150.7799988,115.3568115,185.3399963,58.80726242,132.4199982,52.10217667,42.01145935,7352.82
10/9/18,254.1600037,27.23999977,340.9700012,57.25849915,56.94100189,93.51599884,175.5735168,78.47940063,165.8399963,54.24878693,33.54893875,173.4896851,142.8600006,134.4720154,200.8500061,344.5700073,104.2699966,1870.5,205.1601868,41.31000137,322.6400146,113.5699997,183.7366943,40.49254608,68.68280792,31.36617279,12.86499977,204.7200317,23.2445507,30.625,82.86000061,30.65456772,107.5238113,26.31785583,119.2231445,24.0762043,62.02333069,223.8999939,323.7399902,65.5,40.34456253,212.9036255,177.0700073,90.9005661,133.394165,26.37000084,25.79000092,150.25,115.26017,340.0599976,31.02558708,41.55463028,106.1432343,38.02415085,28.27499962,39.69057083,355.7099915,65.80351257,74.75923157,345.5599976,35.11154938,62.26744461,93.11779785,61.06535339,392.5299988,92.3398056,74.83999634,5.579226017,80.05197144,104.1800003,51.9566803,90.84999847,68.16244507,127.9499969,17.52000046,88.78366089,34.70999908,275.6799927,148.0200043,116.7120056,185.6600037,58.33935165,131.6699982,50.95059204,42.20954132,7371.62
